city,state,state_fips,population,lat,lon,most_populous
Fort Wayne,Indiana,18,256496,41.079273,-85.1393513,
Evansville,Indiana,18,120310,37.9715592,-87.5710898,
South Bend,Indiana,18,100886,41.6763545,-86.2519898,
Bloomington,Indiana,18,82575,39.165325,-86.5263857,
Gary,Indiana,18,78450,41.5933696,-87.3464271,
Des Moines,Iowa,19,207510,41.6005448,-93.6091064,TRUE
Cedar Rapids,Iowa,19,128429,41.9778795,-91.6656232,
Davenport,Iowa,19,102157,41.5236437,-90.5776367,
Sioux City,Iowa,19,82459,42.4999942,-96.4003069,
Iowa City,Iowa,19,71591,41.6611277,-91.5301683,
Wichita,Kansas,20,386552,37.688889,-97.336111,TRUE
Kansas City,Kansas,20,148483,39.114053,-94.6274636,
Topeka,Kansas,20,127679,39.0558235,-95.6890185,
Louisville,Kentucky,21,609893,38.2526647,-85.7584557,TRUE
Lexington,Kentucky,21,308428,38.0405837,-84.5037164,
Bowling Green,Kentucky,21,61488,36.9685219,-86.4808043,
Owensboro,Kentucky,21,58416,37.7719074,-87.1111676,
Covington,Kentucky,21,40956,39.0836712,-84.5085536,
New Orleans,Louisiana,22,378715,29.9510658,-90.0715323,TRUE
Baton Rouge,Louisiana,22,229426,30.4582829,-91.1403196,
Shreveport,Louisiana,22,200327,32.5251516,-93.7501789,
Lafayette,Louisiana,22,124276,30.2240897,-92.0198427,
Lake Charles,Louisiana,22,74024,30.2265949,-93.2173758,
Portland,Maine,23,66318,43.661471,-70.2553259,TRUE
Lewiston,Maine,23,36158,44.101902,-70.21711,
Bangor,Maine,23,32029,44.808147,-68.795013,
Baltimore,Maryland,24,622104,39.2903848,-76.6121893,TRUE
Frederick,Maryland,24,66893,39.4142688,-77.4105409,
Rockville,Maryland,24,64072,39.0839973,-77.1527578,
Bowie,Maryland,24,56759,39.0067768,-76.7791365,
Boston,Massachusetts,25,645966,42.3600825,-71.0588801,TRUE
Worcester,Massachusetts,25,182544,42.2625932,-71.8022934,
Springfield,Massachusetts,25,153703,42.1014831,-72.589811,
Lowell,Massachusetts,25,108861,42.6334247,-71.3161718,
New Bedford,Massachusetts,25,95078,41.6362152,-70.934205,
Brockton,Massachusetts,25,94089,42.0834335,-71.0183787,
Lynn,Massachusetts,25,91589,42.466763,-70.9494938,
Detroit,Michigan,26,688701,42.331427,-83.0457538,TRUE
Grand Rapids,Michigan,26,192294,42.9633599,-85.6680863,
Ann Arbor,Michigan,26,117025,42.2808256,-83.7430378,
Lansing,Michigan,26,113972,42.732535,-84.5555347,
Flint,Michigan,26,99763,43.0125274,-83.6874562,
Minneapolis,Minnesota,27,400070,44.977753,-93.2650108,TRUE
Rochester,Minnesota,27,110742,44.0121221,-92.4801989,
Duluth,Minnesota,27,86128,46.7866719,-92.1004852,
Jackson,Mississippi,28,172638,32.2987573,-90.1848103,TRUE
Gulfport,Mississippi,28,71012,30.3674198,-89.0928155,
Southaven,Mississippi,28,50997,34.9889818,-90.0125913,
Hattiesburg,Mississippi,28,47556,31.3271189,-89.2903392,
Meridian,Mississippi,28,40921,32.3643098,-88.703656,
Tupelo,Mississippi,28,40921,34.2576066,-88.7033859,
Kansas City,Missouri,29,467007,39.0997265,-94.5785667,TRUE
St. Louis,Missouri,29,318416,38.6270025,-90.1994042,
Springfield,Missouri,29,164122,37.2089572,-93.2922989,
Columbia,Missouri,29,115276,38.9517053,-92.3340724,
Billings,Montana,30,109059,45.7832856,-108.5006904,TRUE
Missoula,Montana,30,69122,46.8787176,-113.996586,
Great Falls,Montana,30,59351,47.4941836,-111.2833449,
Bozeman,Montana,30,39860,45.6769979,-111.0429339,
Helena,Montana,30,32655,46.5883707,-112.0245054,
Omaha,Nebraska,31,434353,41.2523634,-95.9979883,TRUE
Lincoln,Nebraska,31,268738,40.8257625,-96.6851982,
Grand Island,Nebraska,31,50550,40.9263957,-98.3420118,
Las Vegas,Nevada,32,603488,36.1699412,-115.1398296,TRUE
Reno,Nevada,32,233294,39.5296329,-119.8138027,
Carson City,Nevada,32,54080,39.1637984,-119.7674034,
Manchester,New Hampshire,33,110378,42.9956397,-71.4547891,TRUE
Nashua,New Hampshire,33,87137,42.7653662,-71.467566,
Concord,New Hampshire,33,42419,43.2081366,-71.5375718,
Dover,New Hampshire,33,31922,43.197883,-70.873581,
Newark,New Jersey,34,278427,40.735657,-74.1723667,TRUE
Trenton,New Jersey,34,84349,40.2170534,-74.7429384,
Camden,New Jersey,34,76903,39.9259463,-75.1196199,
Vineland,New Jersey,34,61050,39.4863773,-75.0259637,
New Brunswick,New Jersey,34,55831,40.4862157,-74.4518188,
Atlantic City,New Jersey,34,39551,39.3642834,-74.4229266,
Albuquerque,New Mexico,35,556495,35.0853336,-106.6055534,TRUE
Las Cruces,New Mexico,35,101324,32.3199396,-106.7636538,
Santa Fe,New Mexico,35,69976,35.6869752,-105.937799,
Roswell,New Mexico,35,48611,33.3942655,-104.5230242,
New York,New York,36,8405837,40.7127837,-74.0059413,TRUE
Buffalo,New York,36,258959,42.8864468,-78.8783689,
Rochester,New York,36,210358,43.16103,-77.6109219,
Syracuse,New York,36,144669,43.0481221,-76.1474244,
Albany,New York,36,98424,42.6525793,-73.7562317,
Charlotte,North Carolina,37,792862,35.2270869,-80.8431267,TRUE
Raleigh,North Carolina,37,431746,35.7795897,-78.6381787,
Greensboro,North Carolina,37,279639,36.0726354,-79.7919754,
Durham,North Carolina,37,245475,35.9940329,-78.898619,
Fayetteville,North Carolina,37,204408,35.0526641,-78.8783585,
Wilmington,North Carolina,37,112067,34.2257255,-77.9447102,
Greenville,North Carolina,37,89130,35.612661,-77.3663538,
Asheville,North Carolina,37,87236,35.5950581,-82.5514869,
Fargo,North Dakota,38,113658,46.8771863,-96.7898034,TRUE
Bismarck,North Dakota,38,67034,46.8083268,-100.7837392,
Grand Forks,North Dakota,38,54932,47.9252568,-97.0328547,
Minot,North Dakota,38,46321,48.2329668,-101.2922906,
Columbus,Ohio,39,822553,39.9611755,-82.9987942,TRUE
Cleveland,Ohio,39,390113,41.49932,-81.6943605,
Cincinnati,Ohio,39,297517,39.1031182,-84.5120196,
Toledo,Ohio,39,282313,41.6639383,-83.555212,
Akron,Ohio,39,198100,41.0814447,-81.5190053,
Dayton,Ohio,39,143355,39.7589478,-84.1916069,
Oklahoma City,Oklahoma,40,610613,35.4675602,-97.5164276,TRUE
Tulsa,Oklahoma,40,398121,36.1539816,-95.992775,
Lawton,Oklahoma,40,97151,34.6035669,-98.3959291,
Portland,Oregon,41,609456,45.5230622,-122.6764816,TRUE
Salem,Oregon,41,160614,44.9428975,-123.0350963,
Eugene,Oregon,41,159190,44.0520691,-123.0867536,
Bend,Oregon,41,81236,44.0581728,-121.3153096,
Medford,Oregon,41,77677,42.3265152,-122.8755949,
Philadelphia,Pennsylvania,42,1553165,39.9525839,-75.1652215,TRUE
Pittsburgh,Pennsylvania,42,305841,40.4406248,-79.9958864,
Allentown,Pennsylvania,42,118577,40.6084305,-75.4901833,
Erie,Pennsylvania,42,100671,42.1292241,-80.085059,
Reading,Pennsylvania,42,87893,40.3356483,-75.9268747,
Scranton,Pennsylvania,42,75806,41.408969,-75.6624122,
Providence,Rhode Island,44,177994,41.8239891,-71.4128343,
Warwick,Rhode Island,44,81971,41.7001009,-71.4161671,
Cranston,Rhode Island,44,80566,41.7798226,-71.4372796,
Pawtucket,Rhode Island,44,71172,41.878711,-71.3825558,
Columbia,South Carolina,45,133358,34.0007104,-81.0348144,TRUE
Charleston,South Carolina,45,127999,32.7764749,-79.9310512,
Rock Hill,South Carolina,45,69103,34.9248667,-81.0250784,
Greenville,South Carolina,45,61397,34.8526176,-82.3940104,
Sioux Falls,South Dakota,46,164676,43.5445959,-96.7311034,TRUE
Rapid City,South Dakota,46,70812,44.0805434,-103.2310149,
Aberdeen,South Dakota,46,28315,45.464698,-98.486483,
Watertown,South Dakota,46,22249,44.899409,-97.115073,
Memphis,Tennessee,47,653450,35.1495343,-90.0489801,TRUE
Nashville,Tennessee,47,634464,36.1626638,-86.7816016,
Knoxville,Tennessee,47,183270,35.9606384,-83.9207392,
Chattanooga,Tennessee,47,173366,35.0456297,-85.3096801,
Clarksville,Tennessee,47,142357,36.5297706,-87.3594528,
Murfreesboro,Tennessee,47,117044,35.8456213,-86.39027,
Houston,Texas,48,2195914,29.7604267,-95.3698028,TRUE
San Antonio,Texas,48,1409019,29.4241219,-98.4936282,
Dallas,Texas,48,1257676,32.7766642,-96.7969879,
Austin,Texas,48,885400,30.267153,-97.7430608,
Fort Worth,Texas,48,792727,32.7554883,-97.3307658,
El Paso,Texas,48,674433,31.7775757,-106.4424559,
Corpus Christi,Texas,48,316381,27.8005828,-97.396381,
Laredo,Texas,48,248142,27.5305671,-99.4803241,
Lubbock,Texas,48,239538,33.5778631,-101.8551665,
Salt Lake City,Utah,49,191180,40.7607793,-111.8910474,TRUE
Provo,Utah,49,116288,40.2338438,-111.6585337,
Logan,Utah,49,54436,41.736933,-111.833826,
Cedar City,Utah,49,37206,37.680492,-113.061722,
Burlington,Vermont,50,42284,44.4758825,-73.212072,TRUE
Rutland,Vermont,50,15207,43.610622,-72.972603,
Bennington,Vermont,50,15046,42.878348,-73.197123,
Montpelier,Vermont,50,7434,44.260059,-72.575386,
Virginia Beach,Virginia,51,448479,36.8529263,-75.977985,TRUE
Richmond,Virginia,51,214114,37.5407246,-77.4360481,
Newport News,Virginia,51,182020,37.0870821,-76.4730122,
Alexandria,Virginia,51,148892,38.8048355,-77.0469214,
Roanoke,Virginia,51,98465,37.2709704,-79.9414266,
Seattle,Washington,53,652405,47.6062095,-122.3320708,TRUE
Spokane,Washington,53,210721,47.6587802,-117.4260466,
Vancouver,Washington,53,167405,45.6387281,-122.6614861,
Yakima,Washington,53,93257,46.6020711,-120.5058987,
Bellingham,Washington,53,82631,48.74908,-122.4781473,
Kennewick,Washington,53,76762,46.2112458,-119.1372338,
Olympia,Washington,53,48338,47.0378741,-122.9006951,
Charleston,West Virginia,54,50821,38.3498195,-81.6326234,TRUE
Huntington,West Virginia,54,46842,38.4192496,-82.445154,
Morgantown,West Virginia,54,30247,39.629524,-79.955894,
Parkersburg,West Virginia,54,29738,39.2667418,-81.5615135,
Wheeling,West Virginia,54,27052,40.063962,-80.720915,
Milwaukee,Wisconsin,55,599164,43.0389025,-87.9064736,TRUE
Madison,Wisconsin,55,243344,43.0730517,-89.4012302,
Green Bay,Wisconsin,55,104779,44.519159,-88.019826,
Kenosha,Wisconsin,55,99889,42.5847425,-87.8211854,
Eau Claire,Wisconsin,55,67545,44.811349,-91.4984941,
Oshkosh,Wisconsin,55,66778,44.0247062,-88.5426136,
Cheyenne,Wyoming,56,62448,41.1399814,-104.8202462,TRUE
Casper,Wyoming,56,58656,42.866632,-106.313081,
Gillette,Wyoming,56,32884,44.29122,-105.502519,
Laramie,Wyoming,56,31659,41.311367,-105.591101,
Rock Springs,Wyoming,56,23196,41.58746439,-109.2029043,
